date,time,group,subject,build,age_response,age_latency,gender_response,gender_latency,race_response,race_latency,comments_response,comments_latency,
92717,16:06:19,759795979,526041724,5.0.9.0,67,20526,Male,20526,White,20526,None,20526,
92717,14:55:35,212778136,969495770,5.0.9.0,25,12521,Female,12521,white,12521,,12521,
92717,03:38:11,855101016,84850510,5.0.9.0,29,7847,Male,7847,white,7847,,7847,
92717,06:33:43,405220498,623086347,5.0.9.0,42,34088,Male,34088,White,34088,"We should push for equality, but there will always be rich people and poor people.",34088,
92717,06:24:10,803226747,858170434,5.0.9.0,26,11405,Female,11405,African American,11405,,11405,
92717,06:27:34,190717450,753945421,5.0.9.0,45,10804,Female,10804,asian,10804,,10804,
92717,04:52:30,910789463,18432892,5.0.9.0,40,13999,Male,13999,white,13999,,13999,
92717,01:14:38,180863649,102102820,5.0.9.0,34,11000,Female,11000,asian american,11000,,11000,
92717,03:42:35,907867755,326048283,5.0.9.0,60,24980,Female,24980,Black,24980,,24980,
92717,00:34:08,615464025,557557695,5.0.9.0,47,21786,Female,21786,White,21786,Very enjoyable,21786,
92617,22:52:53,105918737,217013457,5.0.9.0,57,92335,Male,92335,White / Caucasian,92335,It seemed like some photo's were more computer generated than others.,92335,
92717,01:48:59,309031988,220493053,5.0.9.0,27,7925,Female,7925,Asian,7925,,7925,
92617,22:49:31,886192858,336040694,5.0.9.0,28,21773,Female,21773,Latina,21773,,21773,
92717,00:37:51,861130562,768432271,5.0.9.0,50,58901,Female,58901,Black,58901,Most of the men were scary looking.,58901,
92617,22:32:58,58699043,610990942,5.0.9.0,34,15949,Male,15949,asian,15949,no comments,15949,
92717,00:38:14,608674009,905112375,5.0.9.0,28,34437,Male,34437,asian,34437,no,34437,
92617,22:36:52,338695984,713974656,5.0.9.0,29,10246,Male,10246,White,10246,No,10246,
92617,22:12:21,224529323,253186092,5.0.9.0,31,10447,Male,10447,black,10447,,10447,
92717,01:01:13,493990870,811725241,5.0.9.0,41,32127,Female,32127,white,32127,You can't measure trustworthiness by beauty or race (or by a face).,32127,
92617,21:34:02,677048195,668295644,5.0.9.0,38,15159,Female,15159,BLACK,15159,NONE,15159,
92617,23:53:05,179104430,246463362,5.0.9.0,25,17912,Female,17912,White,17912,,17912,
92717,00:06:22,120662062,395858842,5.0.9.0,27,38902,Male,38902,white,38902,To see what we think about peoples faces,38902,
92617,22:56:08,904023832,399255900,5.0.9.0,43,19853,Male,19853,White,19853,,19853,
92617,20:59:07,188372401,97852686,5.0.9.0,32,16138,Male,16138,White,16138,,16138,
92617,23:27:35,699663806,224406296,5.0.9.0,44,13360,Male,13360,White,13360,,13360,
92617,21:35:39,273794486,862681541,5.0.9.0,48,17703,Female,17703,WHITE/AMERICAN,17703,,17703,
92617,21:10:09,692931144,277871078,5.0.9.0,26,11679,Male,11679,Caucasian,11679,N/A,11679,
92617,21:53:23,211908985,578670908,5.0.9.0,34,13545,Female,13545,white,13545,,13545,
92617,21:55:36,968178099,753698912,5.0.9.0,31,13982,Female,13982,white,13982,no,13982,
92617,21:20:12,600683787,485286174,5.0.9.0,39,16933,Male,16933,white,16933,,16933,
92617,17:56:42,560434312,981585405,5.0.9.0,33,7621,Female,7621,mix,7621,,7621,
92617,20:45:38,975552007,743902213,5.0.9.0,28,27423,Female,27423,WHITE,27423,NO THANK YOU !! GOOD SURVEY HOPEFULLY EQUALITY WILL PREVAIL,27423,
92617,19:28:09,136030697,148877140,5.0.9.0,44,9276,Female,9276,white,9276,,9276,
92617,19:06:08,120963799,169080456,5.0.9.0,51,19018,Female,19018,white/  native american,19018,,19018,
92617,17:08:48,276364851,751416408,5.0.9.0,45,13257,Female,13257,Caucasian,13257,None,13257,
92617,19:03:31,597744628,925428977,5.0.9.0,27,12186,Female,12186,CAUCASIAN,12186,NONE,12186,
92617,15:46:55,954180077,730023496,5.0.9.0,28,53058,Female,53058,white,53058,some items were missing on the survey page,53058,
92617,17:44:50,161550156,914686009,5.0.9.0,21,27744,Male,27744,white,27744,"No, just a question. Are these faces altered in photoshop? Thanks!",27744,
92617,18:41:55,623677268,829252903,5.0.9.0,30,22776,Male,22776,White,22776,,22776,
92617,15:37:38,750076053,778247169,5.0.9.0,34,11098,Male,11098,EUROPEAN-AMERICAN,11098,NOPE,11098,
92617,18:27:01,781913977,297855696,5.0.9.0,48,17455,Female,17455,White/Caucasian,17455,,17455,
92617,18:26:58,470781839,662727535,5.0.9.0,65,74950,Female,74950,WHITE,74950,"The faces didn't appear real, they appeared to be computer generated.",74950,
92617,18:26:23,573356965,48194348,5.0.9.0,33,15971,Female,15971,CAUCASIAN,15971,NO,15971,
92617,15:40:39,306338003,994562087,5.0.9.0,42,8233,Female,8233,chinese,8233,,8233,
92617,15:28:50,829591959,353877672,5.0.9.0,40,15894,Male,15894,White,15894,none,15894,
92617,12:59:03,607852999,905690533,5.0.9.0,30,37641,Male,37641,hispanic,37641,good,37641,
92617,16:10:46,986396025,153670249,5.0.9.0,28,13671,Female,13671,white,13671,no comments.. interesting survey!,13671,
92617,14:36:26,684030501,457213609,5.0.9.0,67,24986,Female,24986,white,24986,none,24986,
92617,15:34:35,454853514,395298768,5.0.9.0,34,57331,Male,57331,white,57331,bit long for the payment.  I really often add about 25 to 50 cents for having to deal with inquisit to what i'll deal with.  today you pretty much just caught me looking for any job,57331,
92617,13:28:37,515475451,268733171,5.0.9.0,31,238806,Female,238806,white,238806,"I found that for several of the photos, my opinion changed after hesititating for a moment, and considering what I felt their temperament would be like. However, I answered by giving what my initial gut reaction was.",238806,
92617,13:32:14,986079142,129784751,5.0.9.0,36,19868,Male,19868,african american,19868,great survey,19868,
92617,12:25:52,902532229,830963883,5.0.9.0,62,62934,Female,62934,Black,62934,A person's character is more important than their race.,62934,
